Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,999)","(n = 1,387)",(n = 606),"(n = 1,992)","(n = 1,661)",(n = 279),"(n = 2,446)","(n = 1,847)",(n = 552),"(n = 2,052)","(n = 1,640)",(n = 411)
,(Percent of farmers),,,,,,,,,,,
Own,54,50,65,43,41,67,54,50,67,56,52,71
Borrowed,11,14,5,8,8,7,33,35,25,29,31,19
Both,34,36,30,22,22,27,13,15,9,15,17,10
Ilocos Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 57),(n = 42),(n = 15),(n = 56),(n = 54),(n = 2),(n = 60),(n = 57),(n = 3),(n = 33),(n = 33),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Own,88,88,87,46,44,100,77,77,67,91,91,0
Borrowed,2,0,7,0,0,0,17,16,33,0,0,0
Both,11,12,7,7,7,0,7,7,0,9,9,0
Pangasinan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 147),(n = 96),(n = 51),(n = 147),(n = 147),(n = 0),(n = 149),(n = 120),(n = 29),(n = 89),(n = 87),(n = 2)
,(Percent of farmers),,,,,,,,,,,
Own,63,53,82,36,36,0,56,48,86,53,52,100
Borrowed,7,11,0,1,1,0,29,35,3,22,23,0
Both,29,35,18,12,12,0,15,17,10,25,25,0
Cagayan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 114),(n = 87),(n = 27),(n = 114),(n = 82),(n = 32),(n = 112),(n = 88),(n = 24),(n = 112),(n = 88),(n = 24)
,(Percent of farmers),,,,,,,,,,,
Own,46,43,56,49,45,59,40,41,38,44,43,46
Borrowed,4,6,0,5,6,3,38,36,46,37,33,50
Both,50,52,44,41,43,38,21,23,17,20,24,4
Isabela,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 89),(n = 74),(n = 15),(n = 89),(n = 75),(n = 14),(n = 114),(n = 90),(n = 24),(n = 115),(n = 90),(n = 25)
,(Percent of farmers),,,,,,,,,,,
Own,36,32,53,42,39,57,41,34,63,50,43,72
Borrowed,21,24,7,29,32,14,42,44,33,39,49,4
Both,43,43,40,29,29,29,18,21,4,11,8,24
Aurora,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 57),(n = 55),(n = 2),(n = 58),(n = 57),(n = 1),(n = 59),(n = 55),(n = 4),(n = 55),(n = 53),(n = 2)
,(Percent of farmers),,,,,,,,,,,
Own,65,65,50,69,68,100,47,47,50,29,28,50
Borrowed,5,5,0,0,0,0,37,38,25,42,43,0
Both,30,29,50,17,18,0,15,15,25,29,28,50
Bulacan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 74),(n = 35),(n = 39),(n = 75),(n = 75),(n = 0),(n = 79),(n = 38),(n = 41),(n = 37),(n = 37),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Own,59,51,62,23,23,0,63,47,66,59,59,0
Borrowed,24,29,18,8,8,0,43,53,34,41,41,0
Both,20,20,21,8,8,0,0,0,0,0,0,0
Nueva Ecija,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 109),(n = 96),(n = 13),(n = 110),(n = 109),(n = 1),(n = 148),(n = 141),(n = 7),(n = 123),(n = 123),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Own,29,29,31,15,16,0,29,29,14,33,33,0
Borrowed,34,35,15,13,13,0,42,40,86,44,44,0
Both,38,35,54,42,41,100,30,31,0,23,23,0
