Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 903),,(n = 697),,(n = 206),,(n = 598),,(n = 505),,(n = 93),,"(n = 1,099)",,(n = 917),,(n = 182),,(n = 902),,(n = 782),,(n = 120),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),10369,11788,10980,12000,8270,10925,11494,16752,12327,16788,6881,15798,17338,36508,18594,39707,11146,11559,16172,20522,17057,21520,10403,10512
Loan Period (number of months),4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
Monthly interest rate (percent),8,3,8,3,8,3,8,4,8,4,9,4,5,5,4,4,6,6,5,5,5,5,6,5
Ilocos Norte,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 7),,(n = 5),,(n = 2),,(n = 4),,(n = 4),,(n = 0),,(n = 14),,(n = 13),,(n = 1),,(n = 3),,(n = 3),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),4264,3061,3480,2058,6225,5339,4500,3109,4500,3109,0,0,7128,9968,7484,10282,2500,0,3000,1000,3000,1000,0,0
Loan Period (number of months),5,2,4,1,7,4,4,1,4,1,0,0,5,2,5,2,6,0,3,1,3,1,0,0
Monthly interest rate (percent),9,5,11,2,2,0,9,6,9,6,0,0,2,2,2,2,0,0,12,3,12,3,0,0
Pangasinan,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 54),,(n = 45),,(n = 9),,(n = 19),,(n = 19),,(n = 0),,(n = 66),,(n = 62),,(n = 4),,(n = 42),,(n = 42),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),8412,8550,9246,9091,4244,2490,7000,7824,7000,7824,0,0,9483,5629,9740,5667,5500,3317,9567,7477,9567,7477,0,0
Loan Period (number of months),4,1,4,1,4,1,4,1,4,1,0,0,4,1,4,1,4,0,4,1,4,1,0,0
Monthly interest rate (percent),8,3,8,3,9,4,6,3,6,3,0,0,3,7,4,7,1,1,7,6,7,6,0,0
Cagayan,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 62),,(n = 50),,(n = 12),,(n = 53),,(n = 40),,(n = 13),,(n = 65),,(n = 51),,(n = 14),,(n = 63),,(n = 50),,(n = 13),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),9060,7966,9975,8485,5248,3388,11296,13056,13304,14299,5117,4406,15383,23162,17406,25644,8014,6114,17118,37634,18499,41996,11808,8807
Loan Period (number of months),4,0,4,0,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,0,4,0,4,0
Monthly interest rate (percent),6,2,6,2,6,2,6,2,5,2,7,3,4,2,4,2,4,3,5,3,5,3,4,2
Isabela,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 57),,(n = 50),,(n = 7),,(n = 52),,(n = 46),,(n = 6),,(n = 68),,(n = 59),,(n = 9),,(n = 58),,(n = 51),,(n = 7),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),14851,15624,16310,16153,4429,1694,16997,28326,18747,29690,3583,2538,20990,20176,22226,20461,12889,16996,19983,21125,21520,21848,8786,9755
Loan Period (number of months),4,1,4,1,5,1,4,1,4,1,4,0,5,1,4,1,5,1,4,1,4,1,4,0
Monthly interest rate (percent),7,2,7,2,6,2,7,2,7,2,9,3,5,3,5,3,6,2,6,4,6,4,7,2
Aurora,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 19),,(n = 18),,(n = 1),,(n = 10),,(n = 10),,(n = 0),,(n = 31),,(n = 29),,(n = 2),,(n = 39),,(n = 38),,(n = 1),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
