Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Method of Crop Establishment,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,999)","(n = 1,390)",(n = 609),"(n = 1,464)","(n = 1,185)",(n = 279),"(n = 2,446)","(n = 1,876)",(n = 570),"(n = 2,052)","(n = 1,641)",(n = 411),"(n = 3,039)","(n = 2,130)",(n = 909),"(n = 2,744)","(n = 2,167)",(n = 577)
,Percent of farmers,,,,,,,,,,,,,,,,,
Transplanting,72,74,69,69,68,75,70,73,62,69,70,67,65,68,58,63,64,57
Direct Seeding*,28,26,31,31,32,25,30,27,38,28,28,30,34,31,41,37,36,42
   Wet Direct Seeding,-,-,-,-,-,-,27,26,31,28,28,30,30,28,35,34,33,37
   Dry Direct Seeding,-,-,-,-,-,-,3,1,7,0,0,0,4,3,6,3,2,5
Both,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0
Ilocos Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Method of Crop Establishment,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 57),(n = 42),(n = 15),(n = 30),(n = 28),(n = 2),(n = 60),(n = 57),(n = 3),(n = 33),(n = 33),(n = 0),(n = 60),(n = 48),(n = 12),(n = 37),(n = 37),(n = 0)
,Percent of farmers,,,,,,,,,,,,,,,,,
Transplanting,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,0
Direct Seeding*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Wet Direct Seeding,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0
   Dry Direct Seeding,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0
Both,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pangasinan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Method of Crop Establishment,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 147),(n = 96),(n = 51),(n = 73),(n = 73),(n = 0),(n = 150),(n = 120),(n = 30),(n = 89),(n = 87),(n = 2),(n = 151),(n = 104),(n = 47),(n = 114),(n = 114),(n = 0)
,Percent of farmers,,,,,,,,,,,,,,,,,
Transplanting,90,99,75,89,89,0,91,96,70,89,91,0,87,97,64,77,77,0
Direct Seeding*,10,1,25,11,11,0,9,4,30,8,7,50,12,3,32,23,23,0
   Wet Direct Seeding,-,-,-,-,-,-,3,3,0,8,7,50,7,1,19,21,21,0
   Dry Direct Seeding,-,-,-,-,-,-,7,1,30,0,0,0,5,2,13,2,2,0
Both,0,0,0,0,0,0,0,0,0,3,2,50,1,0,2,0,0,0
Apayao,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Method of Crop Establishment,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
