Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Method of Crop Seedbed Preparation*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,438)","(n = 1,016)",(n = 422),"(n = 1,018)",(n = 809),(n = 209),"(n = 1,720)","(n = 1,368)",(n = 352),"(n = 1,428)","(n = 1,152)",(n = 276),"(n = 1,988)","(n = 1,460)",(n = 528),"(n = 1,720)","(n = 1,388)",(n = 332)
,(percent of farmers),,,,,,,,,,,,,,,,,
Dapog,8,9,7,9,11,3,7,7,5,6,6,6,7,8,6,8,8,8
Wetbed,89,90,87,90,88,96,92,92,93,93,94,93,90,89,91,91,91,91
Dry-bed,2,1,6,1,1,1,1,1,2,1,1,1,3,3,3,1,1,1
Seedling tray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ilocos Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Method of Crop Seedbed Preparation*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 59),(n = 43),(n = 16),(n = 30),(n = 28),(n = 2),(n = 60),(n = 57),(n = 3),(n = 33),(n = 33),(n = 0),(n = 59),(n = 47),(n = 12),(n = 37),(n = 37),(n = 0)
,(percent of farmers),,,,,,,,,,,,,,,,,
Dapog,0,0,0,0,0,0,32,33,0,0,0,0,0,0,0,3,3,0
Wetbed,88,86,94,93,93,100,60,58,100,82,82,0,88,89,83,84,84,0
Dry-bed,12,14,6,7,7,0,8,9,0,18,18,0,12,11,17,14,14,0
Seedling tray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pangasinan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Method of Crop Seedbed Preparation*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 129),(n = 93),(n = 36),(n = 65),(n = 65),(n = 0),(n = 136),(n = 115),(n = 21),(n = 80),(n = 80),(n = 0),(n = 132),(n = 101),(n = 31),(n = 87),(n = 87),(n = 0)
,(percent of farmers),,,,,,,,,,,,,,,,,
Dapog,2,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Wetbed,91,94,83,98,98,0,99,99,100,99,99,0,98,99,97,97,97,0
Dry-bed,7,3,17,0,0,0,1,1,0,1,1,0,2,1,3,3,3,0
Seedling tray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apayao,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Method of Crop Seedbed Preparation*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 60),(n = 47),(n = 13),(n = 59),(n = 55),(n = 4)
,(percent of farmers),,,,,,,,,,,,,,,,,
Dapog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wetbed,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,98,98,100
Dry-bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Seedling tray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalinga,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Method of Crop Seedbed Preparation*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 48),(n = 37),(n = 11),(n = 41),(n = 35),(n = 6)
,(percent of farmers),,,,,,,,,,,,,,,,,
Dapog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wetbed,0,0,0,0,0,0,0,0,0,0,0,0,81,84,73,93,94,83
Dry-bed,0,0,0,0,0,0,0,0,0,0,0,0,19,16,27,7,6,17
Seedling tray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Method of Crop Seedbed Preparation*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 111),(n = 84),(n = 27),(n = 103),(n = 72),(n = 31),(n = 111),(n = 87),(n = 24),(n = 111),(n = 87),(n = 24),(n = 111),(n = 80),(n = 31),(n = 115),(n = 100),(n = 15)
,(percent of farmers),,,,,,,,,,,,,,,,,
Dapog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wetbed,100,100,100,100,100,100,100,100,100,100,100,100,90,90,90,100,100,100
Dry-bed,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0
Seedling tray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isabela,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Method of Crop Seedbed Preparation*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 74),(n = 62),(n = 12),(n = 72),(n = 60),(n = 12),(n = 95),(n = 75),(n = 20),(n = 94),(n = 75),(n = 19),(n = 100),(n = 86),(n = 14),(n = 96),(n = 87),(n = 9)
,(percent of farmers),,,,,,,,,,,,,,,,,
Dapog,0,0,0,6,5,8,0,0,0,0,0,0,0,0,0,0,0,0
Wetbed,100,100,100,93,95,83,100,100,100,100,100,100,83,81,93,100,100,100
Dry-bed,0,0,0,1,0,8,0,0,0,0,0,0,17,19,7,0,0,0
Seedling tray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nueva Vizcaya,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Method of Crop Seedbed Preparation*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 60),(n = 47),(n = 13),(n = 57),(n = 55),(n = 2)
,(percent of farmers),,,,,,,,,,,,,,,,,
Dapog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wetbed,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Dry-bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seedling tray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurora,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Method of Crop Seedbed Preparation*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 9),(n = 9),(n = 0),(n = 7),(n = 7),(n = 0),(n = 1),(n = 1),(n = 0),(n = 5),(n = 5),(n = 0),(n = 0),(n = 0),(n = 0),(n = 1),(n = 1),(n = 0)
,(percent of farmers),,,,,,,,,,,,,,,,,
Dapog,56,56,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0
Wetbed,44,44,0,100,100,0,100,100,0,80,80,0,0,0,0,100,100,0
Dry-bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seedling tray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulacan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
