Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,"(n = 1,997)",,"(n = 1,386)",,(n = 605),,"(n = 1,459)",,"(n = 1,184)",,(n = 275),,"(n = 2,399)",,"(n = 1,847)",,(n = 552),,"(n = 2,051)",,"(n = 1,640)",,(n = 411),,"(n = 5,758)",,"(n = 4,068)",,"(n = 1,690)",,"(n = 5,268)",,"(n = 4,178)",,"(n = 1,090)",
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),1.07,0.92,1.14,0.96,0.9,0.81,1.07,0.93,1.1,0.96,0.93,0.79,1.06,0.92,1.1,0.88,0.94,1.01,1.06,0.92,1.07,0.91,1,0.97,1.1,0.97,1.15,1,0.99,0.88,1.1,0.99,1.14,1.02,0.93,0.85
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),3647,1473,3967,1393,2904,1379,3953,1649,4267,1553,2597,1333,3673,1545,3884,1499,2967,1486,4129,1667,4453,1593,2835,1286,3737,1944,3977,1892,3159,1946,4169,2429,4465,2081,3035,3208
   Price (₱/kg),9.49,1.27,9.49,1.22,9.47,1.38,10.33,1.23,10.47,1.17,9.72,1.28,13.23,1.82,13.26,1.85,13.11,1.68,14.23,1.68,14.35,1.66,13.76,1.66,15.29,2.58,15.43,2.51,14.93,2.7,16.42,2.33,16.53,2.26,16,2.54
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,34602,,37664,,27509,,40821,,44660,,25233,,48582,,51509,,38895,,58777,,63921,,39014,,57120,,61372,,47174,,68474,,73828,,48557,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,1335,741,1363,735,1269,751,1368,711,1419,709,1147,677,2140,1151,2196,1187,1952,998,2175,1318,2290,1375,1714,929,3093,2296,3100,2170,3076,2577,3289,2755,3395,2869,2884,2221
      Fertilizer,3738,2614,4072,2660,2962,2335,4505,3707,5050,3796,2154,2017,5735,3320,6201,3307,4175,2861,5986,3734,6580,3693,3615,2854,6337,4212,6733,4035,5384,4468,5990,3940,6405,3911,4400,3639
      Herbicides,408,526,416,492,389,598,397,509,420,495,298,559,595,635,589,623,616,674,553,601,560,594,529,629,798,936,762,858,887,1097,753,763,762,755,716,793
      Insecticides,716,813,771,844,593,726,717,829,756,866,550,622,897,836,908,845,861,805,844,780,856,777,795,789,1021,1121,1024,1122,1013,1119,1015,1018,1014,1017,1021,1024
      Fungicides,34,182,38,176,24,188,51,283,59,310,13,99,110,353,123,377,69,255,64,246,72,265,30,145,137,439,140,435,131,448,129,373,135,373,105,370
      Other pesticides,190,442,220,479,121,335,330,1061,372,1161,153,356,329,470,354,483,247,415,362,505,371,521,327,436,558,659,587,630,490,720,590,594,615,589,495,600
 Total Material Costs,6422,,6881,,5359,,7368,,8076,,4314,,9808,,10372,,7921,,9984,,10729,,7010,,11946,,12346,,10982,,11766,,12326,,9620,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,66,194,70,200,57,178,38,140,44,152,12,70,93,214,99,221,72,191,73,184,81,195,41,122,194,705,204,757,170,562,168,638,184,693,105,346
        Land preparation,1767,1584,1832,1602,1614,1532,1921,1692,2017,1716,1508,1521,2210,1986,2241,2015,2105,1886,2368,2021,2462,2029,1994,1947,2974,3280,2995,3230,2922,3397,2865,3031,2875,2800,2825,3789
        Crop establishment,1546,1243,1653,1242,1295,1208,1768,1599,1835,1663,1467,1250,2727,2304,2920,2313,2081,2152,2407,1954,2521,1958,1949,1874,3700,3972,3897,3447,3225,4984,3784,4189,3920,3714,3264,5622
        Crop care and maintenance,327,668,334,647,313,716,358,839,379,872,267,671,212,446,213,446,210,445,302,627,314,644,258,553,502,1330,517,1394,466,1161,493,1214,510,1244,425,1089
        Harvesting and threshing,4963,2522,5387,2505,3982,2281,5912,3292,6355,3264,3983,2635,7250,3646,7631,3617,5977,3453,8600,4252,9229,4193,6091,3497,8079,5386,8461,5366,7162,5324,8994,9630,9262,6292,7968,17184
        Post-harvest labor,289,396,320,415,217,336,462,635,503,666,283,437,389,444,404,457,340,395,436,492,462,504,329,425,784,824,842,811,643,837,997,1276,1065,1135,737,1689
        Permanent hired labor,571,1763,692,1956,280,1142,882,2479,997,2636,387,1545,1044,3071,1198,3307,529,2013,1372,3466,1599,3725,467,1897,1423,3980,1651,4290,874,3039,1612,4314,1851,4534,696,3180
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,61,59,63,60,58,56,88,90,85,92,101,83,287,386,296,393,256,359,272,358,266,361,300,345,347,756,354,756,330,756,433,1340,373,892,661,2361
        Land preparation,489,564,453,547,570,591,568,635,524,615,758,682,1034,1291,980,1253,1211,1397,1157,1490,1037,1402,1637,1719,1330,2509,1213,2317,1614,2901,1668,9786,1360,9385,2850,11116
