Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Item,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,"(n = 1,991)",,"(n = 1,386)",,(n = 605),,"(n = 1,459)",,"(n = 1,184)",,(n = 275),,"(n = 2,399)",,"(n = 1,847)",,(n = 552),,"(n = 2,051)",,"(n = 1,640)",,(n = 411),,"(n = 2,879)",,"(n = 2,034)",,(n = 845),,"(n = 2,634)",,"(n = 2,089)",,(n = 545),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),1.07,0.92,1.14,0.96,0.9,0.81,1.07,0.93,1.1,0.96,0.93,0.79,1.06,0.92,1.1,0.88,0.94,1.01,1.06,0.92,1.07,0.91,1,0.97,1.1,0.97,1.15,1,0.99,0.88,1.1,0.99,1.14,1.02,0.93,0.85
Yield (kg/ha),3647,1473,3967,1393,2904,1379,3953,1649,4267,1553,2597,1333,3673,1545,3884,1499,2967,1486,4129,1667,4453,1593,2835,1286,3737,1944,3977,1892,3159,1947,4169,2429,4465,2081,3035,3210
Material Inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Seed (kg/ha),100.02,51.61,99.93,50.82,100.02,53.45,96.27,50.37,97.91,50.33,89.17,49.99,97.1,50.99,96.6,51.7,98.78,48.54,91.66,50.15,92.14,50.87,89.75,47.17,95.8,63.4,92.65,60.25,103.39,69.87,89.93,64.03,88.65,62.62,94.85,69.01
   Fertilizer (kg/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     N,75.74,50.95,83.13,50,58.69,49.16,76.54,61.75,84.92,61.52,40.47,48.38,72.03,44.12,77.82,44.01,52.66,38.64,73.03,46.26,80.77,45.73,42.14,33.82,94.01,65.02,98.63,60.5,82.9,73.65,89.69,62.2,96.09,62.41,65.16,54.88
     P,7.14,7.76,7.94,8.12,5.28,6.42,7.55,9.27,8.24,9.08,4.53,9.51,6.36,6.52,6.79,6.68,4.92,5.72,7.02,7.5,7.71,7.77,4.24,5.5,3.83,3.77,4.09,3.79,3.19,3.66,3.59,3.62,3.87,3.67,2.52,3.23
     K,10.44,14.47,11.68,14.64,7.62,13.73,11.52,17.05,12.94,17.05,5.38,15.63,9.45,11.19,10.49,11.68,5.98,8.49,10.08,11.9,11.27,12.42,5.32,7.89,12.41,15.03,13.78,15.64,9.09,12.86,12.32,15.97,13.36,16.1,8.35,14.84
   Herbicide (kg or L AIb/ha),0.31,0.4,0.33,0.39,0.27,0.43,0.27,0.35,0.29,0.36,0.18,0.31,0.32,0.43,0.33,0.43,0.31,0.41,0.33,0.47,0.34,0.5,0.27,0.36,0.42,0.53,0.41,0.5,0.44,0.61,0.37,0.42,0.37,0.42,0.36,0.44
