Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
ITEM,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,"(n = 1,959)",,"(n = 1,354)",,(n = 605),,"(n = 1,965)",,"(n = 1,675)",,(n = 289),,"(n = 2,500)",,"(n = 1,905)",,(n = 595),,"(n = 2,235)",,"(n = 1,727)",,(n = 508),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Average distance to the nearest wholesale market (km),6.73,6.93,6.46,7.02,7.33,6.68,6.95,7,6.76,6.8,8.1,7.99,6.23,6.3,6.09,6.42,6.66,5.91,6.05,6.97,6.05,6.94,6.04,7.09
Average travel time (minutes),20.55,16.74,19.92,15.46,21.96,19.23,20.09,15.47,19.45,14.45,23.83,20.07,18.96,15,18.17,14.96,21.5,14.86,17.41,15.24,17.41,14.92,17.4,16.3
Average one-way fare (₱),16.03,12.46,15.61,11.94,16.99,13.53,16.44,12.41,16.45,12.51,16.41,11.78,21,20.45,21.3,21.98,20.07,14.46,19.61,16.91,20.56,17.3,16.38,15.1
Means of transportation (percent)b,,,,,,,,,,,,,,,,,,,,,,,,
Tricycle/motorcycle/habal-habal/skylab,79,,81,,76,,77,,78,,73,,73,,78,,59,,76,,82,,58,
Jeep,40,,36,,48,,34,,32,,42,,24,,22,,27,,22,,22,,24,
Truck/trailer,18,,18,,18,,7,,7,,10,,8,,8,,7,,4,,5,,2,
Bus,11,,12,,10,,2,,2,,3,,0,,0,,0,,0,,0,,0,
Handtractor,3,,2,,5,,3,,3,,3,,1,,1,,2,,1,,1,,2,
Multicab/pedicab/trisikad/bicycle,1,,0,,1,,1,,1,,0,,1,,1,,2,,1,,1,,2,
MCH,0,,1,,0,,0,,0,,0,,2,,3,,2,,0,,0,,0,
Carabao/horse/hauling with animals,0,,1,,0,,1,,1,,0,,0,,1,,0,,0,,0,,0,
Boat,0,,0,,0,,0,,0,,1,,0,,0,,1,,0,,0,,2,
None (walking distance),0.2,,0,,0.5,,0.2,,0.2,,0,,0.2,,0.1,,0.7,,0,,0.1,,0,
