Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Cropping Pattern,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,954)","(n = 1,365)",(n = 589),"(n = 1,964)","(n = 1,674)",(n = 289),"(n = 2,497)","(n = 1,903)",(n = 594),"(n = 2,235)","(n = 1,727)",(n = 508),"(n = 3,074)","(n = 2,082)",(n = 992),"(n = 3,001)","(n = 2,271)",(n = 730)
,(percent of farmers),,,,,,,,,,,,,,,,,
Rice-rice,70,76,55,76,73,91,80,83,69,83,84,80,85,91,74,87,90,79
Rice-fallow,15,8,30,9,10,2,7,3,18,2,2,2,6,3,14,3,4,1
Rice-rice-rice,3,4,1,4,4,0,5,6,2,3,3,1,2,3,1,1,1,2
Rice-other crops,10,8,15,6,6,5,8,7,9,9,6,19,6,5,8,10,7,17
Rice-rice-other crops,8,9,6,11,12,4,4,4,3,2,2,1,1,1,0,1,1,0
Rice+ratoon-rice,0,0,0,0,0,0,0,0,0,0.4,0.52,0,0,0,0,0,0,0
Rice-other crops-rice,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Rice-other crops-other crops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rice-rice+other crops,0,0,0,0,0,0,0,0,0,6,7,0,1,1,0,1,1,0
Rice+other crops-rice,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.1,0.03,0,0.14
Rice+other crops-rice+other crops,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.4,0.13,0.13,0.14
Rice+other crops-other crops,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0.2,0,0,0
Rice+other crops-fallow,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.05,0,0,0,0
