Philippines,Jul-Dec 2006 harvest,,,,,,,,,Jan-Jun 2007 harvest,,,,,,,,,Jul-Dec 2011 harvest,,,,,,,,,Jan-Jun 2012 harvest,,,,,,,,
Harvest Month*,ALL ECOSYSTEMS,,,IRRIGATED,,,NON-IRRIGATED,,,ALL ECOSYSTEMS,,,IRRIGATED,,,NON-IRRIGATED,,,ALL ECOSYSTEMS,,,IRRIGATED,,,NON-IRRIGATED,,,ALL ECOSYSTEMS,,,IRRIGATED,,,NON-IRRIGATED,,
,"(n = 1,996)",,,"(n = 1,389)",,,(n = 607),,,"(n = 1,963)",,,"(n = 1,674)",,,(n = 289),,,"(n = 2,500)",,,"(n = 1,905)",,,(n = 595),,,"(n = 2,052)",,,"(n = 1,641)",,,(n = 411),,
,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop
,(Percent of farmers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,8,0,0,7,0,0,9,0,0,8,0,0,8,0,0,14,0,0,8,0,0,6,0,0,13,0,0,7,0,0,6,0,0,11,0,0
February,11,0,0,11,0,0,12,0,0,9,0,0,8,0,0,12,0,0,10,0,0,10,0,0,10,0,0,13,0,0,12,0,0,18,0,0
March,32,0,0,36,0,0,23,0,0,34,0,0,32,0,0,44,0,0,39,0,0,41,0,0,33,0,0,40,0,0,39,0,0,45,0,0
April,24,0,0,29,0,0,13,0,0,27,0,0,28,0,0,21,0,0,22,0,0,25,0,0,10,0,0,30,0,0,32,0,0,18,0,0
May,0,4,0,0,6,0,0,2,0,0,6,0,0,7,0,0,4,0,0,3,0,0,3,0,0,2,0,0,5,0,0,5,0,0,4,0
June,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,3,0,0,1,0,0,3,0,0,4,0,0,2,0
July,0,2,0,0,2,0,0,3,0,0,1,0,0,1,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,1,0
August,0,9,0,0,11,0,0,5,0,0,7,1,0,7,1,0,2,0,0,8,0,0,8,0,0,8,0,0,7,0,0,8,0,0,3,0
September,0,2,29,0,2,29,0,2,28,0,1,27,0,1,26,0,1,36,0,1,29,0,1,29,0,2,26,0,1,35,0,1,34,0,0,40
October,0,0,39,0,0,39,0,0,37,0,0,45,0,0,45,0,0,45,0,0,41,0,0,42,0,0,38,0,0,40,0,0,40,0,0,43
November,0,0,19,0,0,17,0,0,23,0,0,16,0,0,17,0,0,13,0,0,15,0,0,13,0,0,20,0,0,13,0,0,13,0,0,11
December,0,0,8,0,0,8,0,0,8,0,0,6,0,0,7,0,0,2,0,0,7,0,0,8,0,0,6,0,0,6,0,0,6,0,0,3
Not applicable**,25,81,5,17,77,7,43,88,4,22,83,5,24,82,4,9,92,4,21,83,8,18,82,8,34,84,10,10,81,6,11,79,7,8,90,3
Ilocos Norte,Jul-Dec 2006 harvest,,,,,,,,,Jan-Jun 2007 harvest,,,,,,,,,Jul-Dec 2011 harvest,,,,,,,,,Jan-Jun 2012 harvest,,,,,,,,
Harvest Month*,ALL ECOSYSTEMS,,,IRRIGATED,,,NON-IRRIGATED,,,ALL ECOSYSTEMS,,,IRRIGATED,,,NON-IRRIGATED,,,ALL ECOSYSTEMS,,,IRRIGATED,,,NON-IRRIGATED,,,ALL ECOSYSTEMS,,,IRRIGATED,,,NON-IRRIGATED,,
,(n = 57),,,(n = 42),,,(n = 15),,,(n = 56),,,(n = 54),,,(n = 2),,,(n = 60),,,(n = 57),,,(n = 3),,,(n = 33),,,(n = 33),,,(n = 0),,
,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop,First crop,Second crop,Third crop
,(Percent of farmers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,7,0,0,10,0,0,0,0,0,14,0,0,15,0,0,0,0,0,13,0,0,14,0,0,0,0,0,36,0,0,36,0,0,0,0,0
February,26,0,0,36,0,0,0,0,0,4,0,0,4,0,0,0,0,0,8,0,0,9,0,0,0,0,0,12,0,0,12,0,0,0,0,0
March,2,0,0,2,0,0,0,0,0,18,0,0,19,0,0,0,0,0,15,0,0,16,0,0,0,0,0,27,0,0,27,0,0,0,0,0
April,12,0,0,17,0,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
