Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,"(n = 1,997)",,"(n = 1,386)",,(n = 605),,"(n = 1,459)",,"(n = 1,184)",,(n = 275),,"(n = 2,399)",,"(n = 1,847)",,(n = 552),,"(n = 2,051)",,"(n = 1,640)",,(n = 411),,"(n = 5,758)",,"(n = 4,068)",,"(n = 1,690)",,"(n = 5,268)",,"(n = 4,178)",,"(n = 1,090)",
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Hired Labor (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Seedling management,66,194,70,200,57,178,38,140,44,152,12,70,93,214,99,221,72,191,73,184,81,195,41,122,194,705,204,757,170,562,168,638,184,693,105,346
    Land preparation,1767,1584,1832,1602,1614,1532,1921,1692,2017,1716,1508,1521,2210,1986,2241,2015,2105,1886,2368,2021,2462,2029,1994,1947,2974,3280,2995,3230,2922,3397,2865,3031,2875,2800,2825,3789
    Crop establishment,1546,1243,1653,1242,1295,1208,1768,1599,1835,1663,1467,1250,2727,2304,2920,2313,2081,2152,2407,1954,2521,1958,1949,1874,3700,3972,3897,3447,3225,4984,3784,4189,3920,3714,3264,5622
    Crop care and maintenance,327,668,334,647,313,716,358,839,379,872,267,671,212,446,213,446,210,445,302,627,314,644,258,553,502,1330,517,1394,466,1161,493,1214,510,1244,425,1089
    Harvesting and threshing,4963,2522,5387,2505,3982,2281,5912,3292,6355,3264,3983,2635,7250,3646,7631,3617,5977,3453,8600,4252,9229,4193,6091,3497,8079,5386,8461,5366,7162,5324,8994,9630,9262,6292,7968,17184
    Post-harvest labor,289,396,320,415,217,336,462,635,503,666,283,437,389,444,404,457,340,395,436,492,462,504,329,425,784,824,842,811,643,837,997,1276,1065,1135,737,1689
    Permanent hired labor,571,1763,692,1956,280,1142,882,2479,997,2636,387,1545,1044,3071,1198,3307,529,2013,1372,3466,1599,3725,467,1897,1423,3980,1651,4290,874,3039,1612,4314,1851,4534,696,3180
"Operator, Family & Exchange (OFE) Labor (₱/ha)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Seedling management,61,59,63,60,58,56,88,90,85,92,101,83,287,386,296,393,256,359,272,358,266,361,300,345,347,756,354,756,330,756,433,1340,373,892,661,2361
    Land preparation,489,564,453,547,570,591,568,635,524,615,758,682,1034,1291,980,1253,1211,1397,1157,1490,1037,1402,1637,1719,1330,2509,1213,2317,1614,2901,1668,9786,1360,9385,2850,11116
    Crop establishment,147,392,113,341,227,480,740,736,844,748,296,469,305,493,293,480,344,534,368,917,325,730,542,1427,575,1540,517,1386,716,1852,756,7106,527,3155,1635,14321
