Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,"(n = 1,997)",,"(n = 1,386)",,(n = 605),,"(n = 1,459)",,"(n = 1,184)",,(n = 275),,"(n = 2,399)",,"(n = 1,847)",,(n = 552),,"(n = 2,051)",,"(n = 1,640)",,(n = 411),,"(n = 2,879)",,"(n = 2,034)",,(n = 845),,"(n = 2,634)",,"(n = 2,089)",,(n = 545),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Labor Requirements (person-days/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hired labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Pre Harvest Labor,12.28,11.11,13.02,11.3,10.61,10.47,12.97,11.8,13.21,11.93,11.92,11.12,20.27,20.03,21.26,20.21,17,18.97,20.42,20.12,21.12,20.19,17.67,19.56,24.24,36.58,24.78,35.26,22.96,39.29,22.07,42.43,21.55,35.14,24.04,59.01
     Seedling management,0.09,0.22,0.1,0.23,0.08,0.2,0.1,0.29,0.11,0.3,0.05,0.21,0.26,0.63,0.29,0.67,0.17,0.49,0.27,0.68,0.3,0.72,0.15,0.52,0.43,1.87,0.45,1.99,0.39,1.55,0.35,2.59,0.38,2.88,0.24,0.82
     Land preparation,3.04,2.78,3.23,2.84,2.62,2.61,3.45,2.94,3.56,2.94,2.96,2.89,4.76,4.32,4.83,4.37,4.55,4.16,5.16,4.6,5.28,4.58,4.69,4.66,6.42,8.66,6.3,8.45,6.71,9.15,5.4,8.19,5.26,8.28,5.93,7.8
     Crop establishment,8.24,6.25,8.69,6.22,7.2,6.21,8.13,6.26,8.25,6.37,7.61,5.76,13.92,11.97,14.78,12.01,11.04,11.37,13.3,11.34,13.84,11.38,11.15,10.89,15.55,19.73,16.15,18.34,14.12,22.68,14.83,27.07,14.4,19.41,16.47,45.79
     Crop care & maintenance,0.91,1.86,1,2.01,0.71,1.45,1.29,2.31,1.29,2.32,1.3,2.26,1.33,3.11,1.36,3.16,1.24,2.95,1.69,3.5,1.7,3.51,1.68,3.49,1.84,6.32,1.88,6.48,1.74,5.91,1.49,4.58,1.51,4.57,1.4,4.6
