Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Items,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,638)","(n = 1,222)",(n = 412),"(n = 1,238)","(n = 1,054)",(n = 184),"(n = 1,985)","(n = 1,598)",(n = 387),"(n = 2,051)","(n = 1,640)",(n = 411)
,(Percent of farmers),,,,,,,,,,,
Method of Sale,,,,,,,,,,,,
     Delivered,44,39,60,31,30,40,34,31,48,25,24,30
     Picked-up,55,61,39,69,70,60,65,68,51,60,64,41
     No response,0,0,1,0,0,0,1,1,1,15,11,29
Mode of Payment,,,,,,,,,,,,
     Cash,96,96,96,97,97,98,97,97,97,84,87,69
     Credit,3,3,2,2,2,2,1,1,2,1,1,1
     No response,0,0,0,0,0,0,0,0,0,0,0,0
Types of Outlet**,,,,,,,,,,,,
     Wholesaler,37,39,32,38,40,29,0,0,0,0,0,0
     Wholesaler-retailer,33,31,39,36,36,38,0,0,0,0,0,0
     Assembler,8,8,8,10,10,11,8,8,8,9,11,3
     Retailer,7,7,5,3,4,1,0,0,0,0,0,0
     Input dealer,2,2,3,3,3,3,0,0,0,0,0,0
     Cooperative,2,2,4,2,2,3,3,3,2,2,2,1
     Palay Trader,2,2,2,0,0,0,74,74,77,60,61,55
     Informal money lender,2,2,1,1,1,2,0,0,0,0,0,0
     Consumer,1,1,1,3,2,11,0,0,0,0,0,0
     NFA,1,1,1,0,0,0,2,2,1,1,1,0
     Relatives,0,0,0,0,0,1,0,0,0,0,0,0
     Miller,0,0,0,0,0,1,0,0,0,0,0,0
     Cono owner,0,0,0,0,1,0,0,0,0,0,0,0
     Striker,0,0,0,0,0,1,0,0,0,0,0,1
     Miller,0,0,0,0,0,0,6,6,6,5,5,4
     Creditor/Lender,0,0,0,0,0,0,5,5,4,5,5,3
     Comprada,0,0,0,0,0,0,1,1,0,1,1,0
     Palay agent,0,0,0,0,0,0,0,0,2,0,0,0
     Agents,0,0,0,0,0,0,0,0,0,1,1,0
     Neighbors,0,0,0,0,0,0,0,0,0,1,1,0
     Transient buyer,0,0,0,0,0,0,0,0,0,0,0,1
     Othersa,1,1,0,1,1,1,3,3,3,2,2,2
Ilocos Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Items,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 38),(n = 26),(n = 12),(n = 15),(n = 14),(n = 1),(n = 23),(n = 23),(n = 0),(n = 33),(n = 33),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Method of Sale,,,,,,,,,,,,
     Delivered,61,50,83,20,21,0,52,52,0,12,12,0
     Picked-up,37,50,8,80,79,100,48,48,0,70,70,0
     No response,3,0,8,0,0,0,0,0,0,18,18,0
Mode of Payment,,,,,,,,,,,,
     Cash,100,100,100,100,100,100,100,100,0,82,82,0
     Credit,0,0,0,0,0,0,0,0,0,0,0,0
     No response,0,0,0,0,0,0,0,0,0,0,0,0
Types of Outlet**,,,,,,,,,,,,
     Wholesaler,42,50,25,73,71,100,0,0,0,0,0,0
     Retailer,24,27,17,7,7,0,0,0,0,0,0,0
     Wholesaler-retailer,18,8,42,7,7,0,0,0,0,0,0,0
     Assembler,11,12,8,13,14,0,0,0,0,0,0,0
     Palay Trader,0,0,0,0,0,0,100,100,0,82,82,0
Pangasinan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Items,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 117),(n = 86),(n = 31),(n = 66),(n = 66),(n = 0),(n = 115),(n = 101),(n = 14),(n = 89),(n = 87),(n = 2)
