Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEM,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEM,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEM,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEM,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEM,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEM,,IRRIGATED,,NON-IRRIGATED,
,"(n = 1,998)",,"(n = 1,387)",,(n = 605),,"(n = 1,459)",,"(n = 1,183)",,(n = 275),,"(n = 2,399)",,"(n = 1,847)",,(n = 552),,"(n = 2,051)",,"(n = 1,640)",,(n = 411),,"(n = 3,074)",,"(n = 2,034)",,(n = 845),,"(n = 3,001)",,"(n = 2,091)",,(n = 546),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Harvest (bagb/ha),73,49.9,79.7,47.5,57.5,47.8,79.1,41.7,85.3,36.4,51.9,51.3,73.5,42.1,77.7,38.6,59.3,50.1,82.5,40.5,89,35.9,56.6,45.7,128,196.2,128.6,139.1,137.5,273.9,141.2,367.1,135.9,134.3,170.1,640.3
,(Percentage share of harvest),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landlord's share,9.7,,9.4,,10.5,,8.5,,8.4,,10.1,,8.4,,8.3,,9.1,,8.2,,8,,9.4,,7.2,,6.6,,8.7,,7.2,,7.1,,7.5,
Harvester's sharec,13.4,,13.4,,13.6,,8.2,,8.1,,9.2,,8,,7.9,,8.5,,8.1,,7.9,,9.6,,6.9,,6.3,,8.4,,5.7,,5.4,,6.8,
Thresher's share,-,,-,,-,,5.9,,5.9,,6.2,,6,,5.9,,6.4,,5.6,,5.7,,5.3,,4.9,,4.4,,5.9,,3.5,,3.4,,4,
Combine harvester's share,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,1.9,,2.1,,1.5,,2.5,,3.1,,0.7,
Permanent laborer's sharee,-,,-,,-,,2.1,,2.2,,1.5,,2,,2.1,,1.3,,2.2,,2.4,,1.1,,1.7,,2.1,,1,,1.7,,2,,0.6,
Other laborer's share,2.4,,2.5,,1.8,,0.6,,0.5,,0.7,,0.4,,0.3,,0.6,,0.4,,0.3,,0.8,,0.4,,0.3,,0.7,,0.6,,0.3,,1.4,
Irrigation feee,-,,-,,-,,0.9,,1,,0.2,,0.5,,0.7,,-,,0.4,,0.5,,0,,0.2,,0.3,,0,,0.1,,0.2,,-,
Machine rentalde,-,,-,,-,,-,,-,,-,,0.4,,0.4,,0.6,,0.3,,0.3,,0.4,,0.3,,0.3,,0.3,,0.1,,0.1,,0.1,
Home consumption,25.3,,22.8,,33.3,,24.9,,23.2,,36.5,,25.8,,24.3,,32.7,,23.5,,21.9,,33.5,,36.4,,33.7,,42.5,,37.2,,30.5,,57.7,
Seeds,2.4,,2.2,,3,,2.2,,2.1,,2.9,,1.7,,1.5,,2.4,,1.3,,1.2,,2,,1,,0.8,,1.5,,0.6,,0.5,,0.8,
Creditorsd,5.2,,5.7,,3.7,,-,,-,,-,,2.2,,2.2,,2,,2.3,,2.4,,1.3,,1.3,,1.4,,1.2,,0.5,,0.6,,0.2,
Othersdf,1.7,,1.7,,1.6,,-,,-,,-,,0.8,,0.8,,0.7,,0.7,,0.7,,1.1,,0.2,,0.1,,0.3,,2.7,,3.3,,1,
