Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,"(n = 1,997)",,"(n = 1,386)",,(n = 605),,"(n = 1,459)",,"(n = 1,184)",,(n = 275),,"(n = 2,399)",,"(n = 1,847)",,(n = 552),,"(n = 2,051)",,"(n = 1,640)",,(n = 411),,"(n = 2,879)",,"(n = 2,034)",,(n = 845),,"(n = 2,634)",,"(n = 2,089)",,(n = 545),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Nitrogen (N) (kg/ha),75.74,50.95,83.13,50,58.69,49.16,76.54,61.75,84.92,61.52,40.47,48.38,72.03,44.12,77.82,44.01,52.66,38.64,73.03,46.26,80.77,45.73,42.14,33.82,94.01,65.02,98.63,60.5,82.9,73.65,89.69,62.2,96.09,62.41,65.16,54.88
Phosphorus (P) (kg/ha),7.14,7.76,7.94,8.12,5.28,6.42,7.55,9.27,8.24,9.08,4.53,9.51,6.36,6.52,6.79,6.68,4.92,5.72,7.02,7.5,7.71,7.77,4.24,5.5,3.83,3.77,4.09,3.79,3.19,3.66,3.59,3.62,3.87,3.67,2.52,3.23
Potassium (K) (kg/ha),10.44,14.47,11.68,14.64,7.62,13.73,11.52,17.05,12.94,17.05,5.38,15.63,9.45,11.19,10.49,11.68,5.98,8.49,10.08,11.9,11.27,12.42,5.32,7.89,12.41,15.03,13.78,15.64,9.09,12.86,12.32,15.97,13.36,16.1,8.35,14.84
Ilocos Norte,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 57),,(n = 42),,(n = 15),,(n = 30),,(n = 28),,(n = 2),,(n = 60),,(n = 57),,(n = 3),,(n = 33),,(n = 33),,(n = 0),,(n = 60),,(n = 48),,(n = 12),,(n = 37),,(n = 37),,(n = 0),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
