Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Fertilizer applied,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,993)","(n = 1,387)",(n = 606),"(n = 1,940)","(n = 1,661)",(n = 279),"(n = 2,399)","(n = 1,847)",(n = 552),"(n = 2,051)","(n = 1,640)",(n = 411)
,(Percent of farmers),,,,,,,,,,,
Urea,67,70,58,56,57,50,68,70,60,67,70,51
14-14-14,54,58,44,41,41,36,55,58,44,58,62,45
Ammonium sulfate,30,32,26,22,22,21,32,32,29,31,32,27
16-20-0,19,20,16,13,13,15,20,20,19,20,20,18
45-0-0,0,0,0,0,0,0,12,14,7,14,15,10
45-0-0,13,15,9,3,3,4,0,0,0,0,0,0
Crop giant,4,4,4,3,3,3,3,3,2,3,3,2
0-0-60,2,2,2,3,3,1,2,2,1,2,3,2
17-0-17,1,1,1,1,2,0,3,3,1,3,3,2
Agrowell,1,1,1,1,1,1,1,1,2,1,1,2
Organic,1,2,1,1,0,1,1,0,1,0,0,0
17-0-0,1,1,0,0,0,0,1,1,1,0,1,0
Foliar,1,1,0,0,0,0,1,1,1,0,1,0
25-0-0,1,1,0,0,0,0,1,1,0,1,1,0
Ilocos Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Fertilizer applied,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 57),(n = 42),(n = 15),(n = 56),(n = 54),(n = 2),(n = 60),(n = 57),(n = 3),(n = 33),(n = 33),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Urea,82,81,87,45,44,50,62,65,0,97,97,0
