Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,"(n = 1,997)",,"(n = 1,386)",,(n = 605),,"(n = 1,459)",,"(n = 1,184)",,(n = 275),,"(n = 2,399)",,"(n = 1,847)",,(n = 552),,"(n = 2,051)",,"(n = 1,640)",,(n = 411),,"(n = 2,879)",,"(n = 2,034)",,(n = 845),,"(n = 2,634)",,"(n = 2,089)",,(n = 545),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
,(averages),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbicide (kg or L AIb/ha),0.31,0.4,0.33,0.39,0.27,0.43,0.27,0.35,0.29,0.36,0.18,0.31,0.32,0.43,0.33,0.43,0.31,0.41,0.33,0.47,0.34,0.5,0.27,0.36,0.42,0.53,0.41,0.5,0.44,0.61,0.37,0.42,0.37,0.42,0.36,0.44
Insecticide (kg or L AI/ha),0.16,0.39,0.18,0.42,0.12,0.3,0.14,0.27,0.16,0.29,0.07,0.15,0.25,0.45,0.25,0.43,0.24,0.52,0.23,0.42,0.23,0.4,0.2,0.51,0.29,0.49,0.29,0.45,0.3,0.58,0.27,0.4,0.27,0.39,0.25,0.41
Fungicide (kg or L AI/ha),0.06,1.02,0.04,0.2,0.09,1.82,0.04,0.2,0.04,0.21,0.01,0.1,0.1,0.4,0.11,0.4,0.08,0.43,0.06,0.3,0.07,0.32,0.03,0.18,0.06,0.27,0.06,0.26,0.06,0.29,0.07,0.26,0.07,0.26,0.06,0.25
Other pesticides (kg or L AI/ha),0.08,0.48,0.1,0.56,0.05,0.18,0.1,0.47,0.11,0.51,0.05,0.2,0.19,0.48,0.21,0.52,0.12,0.33,0.24,0.76,0.26,0.83,0.16,0.39,0.23,0.48,0.25,0.5,0.2,0.42,0.21,0.27,0.22,0.27,0.16,0.28
Ilocos Norte,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
