Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,662)","(n = 1,208)",(n = 454),"(n = 1,250)","(n = 1,036)",(n = 214),"(n = 2,295)","(n = 1,786)",(n = 509),"(n = 1,928)","(n = 1,560)",(n = 368)
,(Percent of farmers),,,,,,,,,,,
Herbicides,,,,,,,,,,,,
"2,4-D IBE",--,--,--,--,--,--,23.27,21.44,29.67,22.51,21.15,28.26
Butachlor,--,--,--,--,--,--,11.9,12.32,10.41,15.66,15.38,16.85
Butachlor + propanil,--,--,--,0.08,0.1,--,13.2,14.17,9.82,13.23,14.23,8.97
Bispyribac sodium,--,--,--,--,--,--,14.64,15.01,13.36,10.43,11.09,7.61
"Butachlor + 2,4-D IBE",--,--,--,--,--,--,8.41,7.95,10.02,9.02,8.97,9.24
Pretilachlor,--,--,--,--,--,--,9.02,9.35,7.86,8.61,8.78,7.88
Oxadiazon,--,--,--,--,--,--,2.92,2.18,5.5,2.49,1.6,6.25
Butachlor + safener,--,--,--,--,--,--,2.79,3.08,1.77,2.96,3.27,1.63
Cyhalofop butyl,--,--,--,--,--,--,2.05,2.07,1.96,2.18,1.86,3.53
Fenoxaprop p-ethyl,--,--,--,--,--,--,3.27,3.19,3.54,1.24,1.35,0.82
Pyribenzoxim,--,--,--,--,--,--,2.09,2.24,1.57,2.75,3.14,1.09
MCPA,--,--,--,--,--,--,1.66,1.46,2.36,1.19,1.28,0.82
Glyphosate IPA,0.18,0.25,--,--,--,--,1.61,1.74,1.18,0.83,0.96,0.27
"2,4-Damine",--,--,--,0.08,0.1,--,0.87,0.62,1.77,0.88,0.83,1.09
Metsulfuron methyl +,0.06,--,0.22,--,--,--,1,1.18,0.39,1.24,1.41,0.54
Insecticides,,,,,,,,,,,,
Cypermethrin,46.75,44.37,53.08,65.36,64.38,70.56,62.48,61.03,67.58,58.09,57.24,61.68
Lambdacyhalothrin,14.2,13.08,17.18,14.64,12.36,25.7,20.78,19.15,26.52,8.97,8.27,11.96
Chlorpyrifos + BPMC,9.15,10.43,5.73,11.92,12.84,7.48,13.99,15.34,9.23,11.57,12.5,7.61
