Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Frequency of all pesticide application,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,993)","(n = 1,387)",(n = 606),"(n = 1,940)","(n = 1,661)",(n = 279),"(n = 2,399)","(n = 1,847)",(n = 552),"(n = 2,051)","(n = 1,640)",(n = 411),"(n = 2,969)","(n = 2,103)",(n = 866),"(n = 2,721)","(n = 2,156)",(n = 565)
,(Percent of farmers),,,,,,,,,,,,,,,,,
Seedbed*,,,,,,,,,,,,,,,,,,
     once,15,17,8,17,18,11,6,6,4,5,6,3,21,22,17,10,11,5
     twice,2,2,0,1,1,0,0,0,0,0,0,0,3,3,3,1,1,1
     thrice,0.2,0.1,0.3,0.1,0,0.3,0,0,0,0,0,0,0.2,0.2,0.4,0,0,0
     4 times,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0
     did not apply,83,80,91,82,81,88,94,94,95,95,94,97,75,74,79,89,88,94
Pre-establishment,,,,,,,,,,,,,,,,,,
     once,..,..,..,8,9,5,3,4,2,4,5,4,10,11,8,5,6,4
     twice,..,..,..,0.2,0.2,0.4,0.1,0.1,0.1,0.1,0.1,0,0.2,0.2,0.2,0,0,0
     did not apply,..,..,..,91,91,94,96,96,97,95,95,96,90,89,92,95,94,96
Standing,,,,,,,,,,,,,,,,,,
     once,47,49,43,44,46,36,21,22,20,21,22,18,52,51,52,25,28,27
     twice,22,22,24,21,20,28,9,10,8,10,10,10,24,24,25,10,11,10
     thrice,7,7,7,7,7,7,3,3,3,3,3,3,8,8,8,3,4,4
