Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Frequency of application of other chemicals,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,993)","(n = 1,387)",(n = 606),"(n = 1,940)","(n = 1,661)",(n = 279),"(n = 2,399)","(n = 1,847)",(n = 552),"(n = 2,051)","(n = 1,640)",(n = 411),"(n = 2,969)","(n = 2,103)",(n = 866),"(n = 2,721)","(n = 2,156)",(n = 565)
,(Percent of farmers),,,,,,,,,,,,,,,,,
Seedbed*,,,,,,,,,,,,,,,,,,
     once,13,13,0,17,19,13,0,0,0,0,0,0,0,0,0,0,0,0
     did not apply,88,88,0,83,81,88,100,100,100,100,100,100,100,100,100,100,100,100
Pre-establishment,,,,,,,,,,,,,,,,,,
     once,..,..,..,29,40,0,0,0,0,0,0,0,13,0,20,0,0,0
     did not apply,..,..,..,71,60,100,100,100,100,100,100,100,88,100,80,100,100,100
Standing,,,,,,,,,,,,,,,,,,
     once,85,91,0,50,45,63,1,1,0,0,0,0,50,0,80,0,0,0
     twice,7,0,100,7,0,25,0,0,0,0,0,0,38,100,0,0,0,0
     did not apply,9,9,0,43,55,13,99,99,100,100,100,100,13,0,20,100,100,100
Ilocos Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Frequency of application of other chemicals,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 57),(n = 42),(n = 15),(n = 56),(n = 54),(n = 2),(n = 60),(n = 57),(n = 3),(n = 33),(n = 33),(n = 0),(n = 60),(n = 48),(n = 12),(n = 37),(n = 37),(n = 0)
,(Percent of farmers),,,,,,,,,,,,,,,,,
Seedbed*,,,,,,,,,,,,,,,,,,
     did not apply,..,..,..,100,100,0,100,100,100,100,100,0,0,0,0,100,100,0
Pre-establishment,,,,,,,,,,,,,,,,,,
