Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Frequency of fungicide application,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,993)","(n = 1,387)",(n = 606),"(n = 1,940)","(n = 1,661)",(n = 279),"(n = 2,399)","(n = 1,847)",(n = 552),"(n = 2,051)","(n = 1,640)",(n = 411),"(n = 2,969)","(n = 2,103)",(n = 866),"(n = 2,721)","(n = 2,156)",(n = 565)
,(Percent of farmers),,,,,,,,,,,,,,,,,
Seedbed*,,,,,,,,,,,,,,,,,,
     once,3,3,4,5,5,4,0,1,0,0,0,0,7,7,7,1,1,0
     twice,1,1,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
     did not apply,96,97,92,95,95,96,100,99,100,100,100,100,92,92,92,99,99,100
Pre-establishment,,,,,,,,,,,,,,,,,,
     once,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
     did not apply,100,100,100,95,94,100,100,100,100,100,100,100,100,100,100,100,100,100
Standing,,,,,,,,,,,,,,,,,,
     once,68,70,58,64,64,67,11,11,9,12,13,10,70,67,76,13,15,12
     twice,23,22,27,19,18,29,4,5,2,4,4,3,20,21,17,2,3,2
     thrice,4,3,8,6,7,0,1,1,0,1,1,1,6,7,3,1,1,0
     4 times,3,3,3,2,3,0,0,0,0,1,1,1,1,1,1,0,0,0
     5 times,0.5,0.6,0,0.8,0.9,0,0,0,0,0.2,0.2,0.2,0.5,0.2,1.3,0.1,0.1,0
     6 times,0.5,0,2.7,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0
     7 times,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.2,0.2,0,0,0,0
     did not apply,1,1,3,8,8,4,84,82,90,82,82,84,3,3,1,84,80,85
Ilocos Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Frequency of fungicide application,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 57),(n = 42),(n = 15),(n = 56),(n = 54),(n = 2),(n = 60),(n = 57),(n = 3),(n = 33),(n = 33),(n = 0),(n = 60),(n = 48),(n = 12),(n = 37),(n = 37),(n = 0)
,(Percent of farmers),,,,,,,,,,,,,,,,,
Seedbed*,,,,,,,,,,,,,,,,,,
     did not apply,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Pre-establishment,,,,,,,,,,,,,,,,,,
     did not apply,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Standing,,,,,,,,,,,,,,,,,,
     once,100,100,0,100,100,0,0,0,0,0,0,0,100,100,100,5,8,0
     thrice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,2.7,0
     did not apply,0,0,100,0,0,100,100,100,100,100,100,100,0,0,0,93,89,100
Pangasinan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Frequency of fungicide application,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 147),(n = 96),(n = 51),(n = 147),(n = 147),(n = 0),(n = 149),(n = 120),(n = 29),(n = 89),(n = 87),(n = 2),(n = 151),(n = 104),(n = 47),(n = 113),(n = 113),(n = 0)
,(Percent of farmers),,,,,,,,,,,,,,,,,
Seedbed*,,,,,,,,,,,,,,,,,,
     once,0,0,0,0,0,0,0.7,0.9,0,0,0,0,0,0,0,1.1,1.2,0
     did not apply,100,100,100,100,100,100,99,99,100,100,100,100,100,100,100,99,99,100
Pre-establishment,,,,,,,,,,,,,,,,,,
     did not apply,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Standing,,,,,,,,,,,,,,,,,,
     once,27,0,60,73,73,0,12,12,14,2,2,0,84,82,88,21,27,0
     twice,55,67,40,0,0,0,1,1,0,1,1,0,16,18,13,1,2,0
     thrice,9,17,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
     4 times,9,17,0,27,27,0,0,0,0,0,0,0,0,0,0,1,1,0
     did not apply,0,0,0,0,0,100,85,85,86,97,97,100,0,0,0,77,70,100
Apayao,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Frequency of fungicide application,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 60),(n = 47),(n = 13),(n = 60),(n = 56),(n = 4)
,(Percent of farmers),,,,,,,,,,,,,,,,,
Seedbed*,,,,,,,,,,,,,,,,,,
     once,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.8,0
     did not apply,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,98,100
Pre-establishment,,,,,,,,,,,,,,,,,,
     did not apply,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Standing,,,,,,,,,,,,,,,,,,
     once,0,0,0,0,0,0,0,0,0,0,0,0,85,83,100,12,13,0
     twice,0,0,0,0,0,0,0,0,0,0,0,0,15,17,0,2,2,0
     did not apply,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,87,86,100
Kalinga,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Frequency of fungicide application,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 60),(n = 47),(n = 13),(n = 58),(n = 52),(n = 6)
,(Percent of farmers),,,,,,,,,,,,,,,,,
Seedbed*,,,,,,,,,,,,,,,,,,
     once,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,5,6,0
     twice,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,2,3,0
     did not apply,100,100,100,100,100,100,100,100,100,100,100,100,73,71,100,93,91,100
Pre-establishment,,,,,,,,,,,,,,,,,,
     did not apply,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Standing,,,,,,,,,,,,,,,,,,
     once,0,0,0,0,0,0,0,0,0,0,0,0,68,65,100,20,23,0
     twice,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0
     thrice,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,2,2,0
     5 times,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0
     did not apply,100,100,100,100,100,100,100,100,100,100,100,100,11,12,0,78,75,100
Cagayan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
