Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Frequency of herbicide application,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,993)","(n = 1,387)",(n = 606),"(n = 1,940)","(n = 1,661)",(n = 279),"(n = 2,399)","(n = 1,847)",(n = 552),"(n = 2,051)","(n = 1,640)",(n = 411),"(n = 2,969)","(n = 2,103)",(n = 866),"(n = 2,721)","(n = 2,156)",(n = 565)
,(Percent of farmers),,,,,,,,,,,,,,,,,
Seedbed*,,,,,,,,,,,,,,,,,,
     once,4,6,1,2,2,1,3,4,1,3,4,2,13,14,12,9,11,2
     twice,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.5,0.7,0,0.2,0.1,0
     4 times,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     did not apply,95,94,99,98,98,99,97,96,99,97,96,98,86,85,88,90,89,98
Pre-establishment,,,,,,,,,,,,,,,,,,
     once,..,..,..,5,5,2,4,4,3,3,3,2,5,5,6,3,4,3
     twice,..,..,..,0.3,0.1,1.1,0.2,0.2,0,0.1,0.1,0.2,0,0.1,0,0,0,0
     did not apply,..,..,..,95,95,96,96,96,97,97,96,98,95,95,94,97,96,97
Standing,,,,,,,,,,,,,,,,,,
     once,45,49,38,45,48,30,49,49,46,48,51,38,60,60,59,46,52,50
     twice,15,15,16,12,12,14,20,20,22,18,18,21,31,30,31,19,22,19
     thrice,1,1,1,1,1,0,2,2,2,2,1,3,5,5,6,2,2,3
     4 times,0.1,0,0.3,0.1,0.1,0.4,0.1,0.1,0.2,0.3,0.2,0.5,0.7,0.8,0.6,0.1,0.1,0.2
     5 times,0.1,0.2,0,0.1,0.1,0,0,0.1,0,0,0,0,0.3,0.2,0.3,0.1,0.1,0
     6 times,0,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.3,0,0,0
     7 times,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     did not apply,38,35,45,42,39,55,29,29,30,31,30,37,4,4,3,33,24,28
