Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Frequency of insecticide application,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,993)","(n = 1,387)",(n = 606),"(n = 1,940)","(n = 1,661)",(n = 279),"(n = 2,399)","(n = 1,847)",(n = 552),"(n = 2,051)","(n = 1,640)",(n = 411),"(n = 2,969)","(n = 2,103)",(n = 866),"(n = 2,721)","(n = 2,156)",(n = 565)
,(Percent of farmers),,,,,,,,,,,,,,,,,
Seedbed*,,,,,,,,,,,,,,,,,,
     once,28,32,19,29,31,19,22,23,17,19,21,11,29,31,24,25,28,14
     twice,4,5,0,2,2,1,1,1,1,0,0,0,7,8,6,5,6,2
     thrice,0.5,0.4,0.7,0.1,0,0.6,0,0,0,0,0,0,0.7,0.5,1.2,0.1,0.1,0
     4 times,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0,0,0
     6 times,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0
     did not apply,67,63,80,70,67,80,77,76,82,81,79,89,62,60,68,70,66,84
Pre-establishment,,,,,,,,,,,,,,,,,,
     once,..,..,..,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0
     twice,..,..,..,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0,0,0,0
     did not apply,..,..,..,99,99,99,99,99,99,98,98,98,100,100,100,100,100,100
Standing,,,,,,,,,,,,,,,,,,
     once,35,33,40,32,33,29,29,29,30,27,27,26,30,29,31,27,30,31
     twice,34,33,37,35,32,46,25,27,20,28,28,30,30,30,30,28,32,32
     thrice,16,17,14,14,14,13,16,16,17,14,14,12,18,18,18,16,19,17
     4 times,8,9,5,8,9,6,8,7,10,8,8,9,10,10,11,6,7,6
