Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Frequency of molluscicide application,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,993)","(n = 1,387)",(n = 606),"(n = 1,940)","(n = 1,661)",(n = 279),"(n = 2,399)","(n = 1,847)",(n = 552),"(n = 2,051)","(n = 1,640)",(n = 411),"(n = 2,969)","(n = 2,103)",(n = 866),"(n = 2,721)","(n = 2,156)",(n = 565)
,(Percent of farmers),,,,,,,,,,,,,,,,,
Seedbed*,,,,,,,,,,,,,,,,,,
     once,28,30,18,22,22,17,6,6,3,8,9,6,25,26,20,18,20,10
     twice,1,1,0,1,1,0,0,0,1,0,0,1,2,2,4,2,2,1
     thrice,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0
     did not apply,71,69,82,77,77,83,94,94,96,92,91,93,73,72,77,80,78,89
Pre-establishment,,,,,,,,,,,,,,,,,,
     once,..,..,..,33,33,33,15,17,10,21,21,18,33,35,27,24,30,19
     twice,..,..,..,0.6,0.7,0,0.2,0.1,0.5,0.1,0.2,0,0.6,0.5,1,0.1,0.2,0
     thrice,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0
     did not apply,..,..,..,67,67,67,85,83,89,79,78,82,66,64,72,75,70,81
Standing,,,,,,,,,,,,,,,,,,
     once,80,80,78,64,64,59,27,29,22,28,29,23,60,59,61,41,49,38
     twice,15,15,14,8,8,7,4,4,1,4,4,3,13,12,16,5,6,5
     thrice,2,1,6,1,1,3,1,1,0,1,1,1,1,1,1,0,0,0
     4 times,0.6,0.5,1.1,0,0,0,0.1,0.1,0,0.2,0.3,0,0.4,0.2,1,0,0,0
     5 times,0.6,0.8,0,0.2,0.2,0,0,0.1,0,0,0,0,0.1,0.1,0.2,0,0,0
     did not apply,2,2,1,28,27,30,68,66,76,67,65,73,25,27,21,53,45,56
