Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Frequency of rodenticide application,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,993)","(n = 1,387)",(n = 606),"(n = 1,940)","(n = 1,661)",(n = 279),"(n = 2,399)","(n = 1,847)",(n = 552),"(n = 2,051)","(n = 1,640)",(n = 411),"(n = 2,969)","(n = 2,103)",(n = 866),"(n = 2,721)","(n = 2,156)",(n = 565)
,(Percent of farmers),,,,,,,,,,,,,,,,,
Seedbed*,,,,,,,,,,,,,,,,,,
     once,10,12,0,14,14,13,2,1,5,1,1,1,13,14,10,4,3,4
     twice,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0
     did not apply,89,87,100,86,86,87,98,99,95,99,99,99,86,84,90,96,96,96
Pre-establishment,,,,,,,,,,,,,,,,,,
     once,..,..,..,5,6,0,0,0,1,1,1,2,3,3,2,1,1,1
     twice,..,..,..,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0
     did not apply,..,..,..,95,94,100,100,100,99,99,99,98,97,97,98,99,99,99
Standing,,,,,,,,,,,,,,,,,,
     once,64,67,58,58,60,50,12,11,14,12,11,13,71,71,71,21,22,32
     twice,19,17,24,15,13,23,3,2,3,3,3,3,17,16,19,4,4,5
     thrice,5,5,6,9,7,15,1,1,1,1,1,1,5,4,4,1,1,1
     4 times,5,4,6,4,4,0,0,0,1,1,1,1,2,2,1,0,0,0
     5 times,1,1,0,2,1,4,0,0,1,1,1,2,1,1,1,0,0,0
     6 times,0,0,0,0.6,0.7,0,0.2,0,0.7,0.6,0.4,1.2,0.4,0.6,0,0,0,0
     7 times,0,0,0,0,0,0,0.2,0.1,0.7,0.5,0.3,1.5,0.3,0,0,0.1,0.1,0
     8 times,2,0,6,1,0,4,0,0,0,0,0,1,0,0,1,0,0,0
     10 times,0,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0.2,0,0,0,0
     12 times,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
     did not apply,5,7,0,11,13,5,84,85,79,81,83,76,4,5,3,74,73,61
Ilocos Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Frequency of rodenticide application,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 57),(n = 42),(n = 15),(n = 56),(n = 54),(n = 2),(n = 60),(n = 57),(n = 3),(n = 33),(n = 33),(n = 0),(n = 60),(n = 48),(n = 12),(n = 37),(n = 37),(n = 0)
,(Percent of farmers),,,,,,,,,,,,,,,,,
Seedbed*,,,,,,,,,,,,,,,,,,
     did not apply,100,100,100,0,0,0,100,100,100,100,100,0,0,0,0,100,100,0
Pre-establishment,,,,,,,,,,,,,,,,,,
     did not apply,..,..,..,0,0,0,100,100,100,100,100,0,0,0,0,100,100,0
Standing,,,,,,,,,,,,,,,,,,
     once,100,100,100,0,0,0,0,0,0,3,3,0,0,0,0,2,3,0
     did not apply,0,0,0,0,0,0,100,100,100,97,97,0,0,0,0,98,97,0
Pangasinan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
