Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Seed Classification,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,995)","(n = 1,387)",(n = 608),"(n = 1,461)","(n = 1,183)",(n = 279),"(n = 2,446)","(n = 1,876)",(n = 570),"(n = 2,052)","(n = 1,641)",(n = 411),"(n = 3,039)","(n = 2,130)",(n = 909),"(n = 2,757)","(n = 2,178)",(n = 579)
,(percent of farmers),,,,,,,,,,,,,,,,,
Hybrid,5,6,3,7,7,3,4,5,2,6,8,1,10,12,7,14,16,8
Registered,2,3,1,2,2,1,3,4,1,2,3,1,1,2,1,2,2,2
Certified,22,25,17,21,22,14,38,41,31,35,38,21,46,50,39,45,48,33
Good seeds,18,18,19,13,13,15,14,13,18,13,12,17,2,2,2,2,2,2
Farmer's seed,52,49,60,58,55,67,40,38,48,44,39,60,33,29,42,33,28,50
Quality,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,2,2,1
Good seeds (did not pass certification),-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,1,1,2
Unclassified,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1
Breeding Line,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3,0,0,0
Traditional,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
Foundation,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
Ilocos Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Seed Classification,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 57),(n = 42),(n = 15),(n = 30),(n = 28),(n = 2),(n = 60),(n = 57),(n = 3),(n = 33),(n = 33),(n = 0),(n = 60),(n = 48),(n = 12),(n = 37),(n = 37),(n = 0)
,(percent of farmers),,,,,,,,,,,,,,,,,
Hybrid,23,26,13,13,14,0,32,32,33,36,36,0,32,38,8,41,41,0
Registered,2,0,7,0,0,0,2,2,0,0,0,0,3,2,8,11,11,0
Certified,19,17,27,33,32,50,40,40,33,45,45,0,60,54,83,41,41,0
Good seeds,30,33,20,33,32,50,5,4,33,0,0,0,0,0,0,0,0,0
Farmer's seed,26,24,33,20,21,0,22,23,0,18,18,0,2,2,0,5,5,0
Quality,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,3,3,0
Good seeds (did not pass certification),-,-,-,-,-,-,-,-,-,-,-,-,2,2,0,0,0,0
Unclassified,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
Breeding Line,-,-,-,-,-,-,-,-,-,-,-,-,2,2,0,0,0,0
Traditional,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
Foundation,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
Pangasinan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Seed Classification,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 146),(n = 95),(n = 51),(n = 72),(n = 72),(n = 0),(n = 150),(n = 120),(n = 30),(n = 89),(n = 87),(n = 2),(n = 151),(n = 104),(n = 47),(n = 115),(n = 115),(n = 0)
,(percent of farmers),,,,,,,,,,,,,,,,,
Hybrid,4,4,4,1,1,0,5,5,7,2,2,0,6,3,13,8,8,0
Registered,1,0,2,0,0,0,4,5,0,12,13,0,0,0,0,3,3,0
Certified,32,27,41,26,26,0,38,43,17,53,52,100,62,65,55,67,67,0
Good seeds,4,6,0,4,4,0,31,31,33,7,7,0,5,5,4,4,4,0
Farmer's seed,59,62,53,68,68,0,21,16,43,26,26,0,21,20,23,13,13,0
Quality,-,-,-,-,-,-,-,-,-,-,-,-,5,6,4,3,3,0
Good seeds (did not pass certification),-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
Unclassified,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,2,2,0
Breeding Line,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
Traditional,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
Foundation,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0,0
Apayao,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Seed Classification,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 60),(n = 47),(n = 13),(n = 60),(n = 56),(n = 4)
,(percent of farmers),,,,,,,,,,,,,,,,,
Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,70,72,62,67,66,75
Registered,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5,5,0
Certified,0,0,0,0,0,0,0,0,0,0,0,0,25,21,38,23,23,25
Good seeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farmer's seed,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0
Quality,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,2,2,0
Good seeds (did not pass certification),-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,3,4,0
Unclassified,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
Breeding Line,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
Traditional,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
Foundation,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
Kalinga,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Seed Classification,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 60),(n = 47),(n = 13),(n = 58),(n = 52),(n = 6)
,(percent of farmers),,,,,,,,,,,,,,,,,
Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,8,2,31,12,12,17
Registered,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,2,2,0
Certified,0,0,0,0,0,0,0,0,0,0,0,0,78,85,54,76,81,33
Good seeds,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Farmer's seed,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,5,0,50
Quality,-,-,-,-,-,-,-,-,-,-,-,-,3,4,0,2,2,0
Good seeds (did not pass certification),-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,2,2,0
Unclassified,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,2,2,0
Breeding Line,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
Traditional,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
Foundation,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
Cagayan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Seed Classification,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 114),(n = 87),(n = 27),(n = 109),(n = 77),(n = 32),(n = 112),(n = 88),(n = 24),(n = 112),(n = 88),(n = 24),(n = 113),(n = 82),(n = 31),(n = 116),(n = 101),(n = 15)
,(percent of farmers),,,,,,,,,,,,,,,,,
Hybrid,15,15,15,17,18,13,8,8,8,27,31,13,14,17,6,42,45,27
Registered,1,1,0,1,1,0,0,0,0,1,1,0,4,4,3,0,0,0
Certified,47,55,22,49,53,38,69,70,63,52,49,63,66,66,68,49,46,73
Good seeds,16,11,30,12,10,16,12,10,17,17,16,21,1,1,0,0,0,0
Farmer's seed,21,17,33,22,17,34,12,11,13,4,3,4,4,4,3,6,7,0
Quality,-,-,-,-,-,-,-,-,-,-,-,-,9,6,16,3,3,0
Good seeds (did not pass certification),-,-,-,-,-,-,-,-,-,-,-,-,1,0,3,0,0,0
Unclassified,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
