Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Seed source,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,989)","(n = 1,385)",(n = 604),"(n = 1,460)","(n = 1,183)",(n = 277),"(n = 2,443)","(n = 1,874)",(n = 569),"(n = 2,051)","(n = 1,640)",(n = 411)
,(percent of farmers),,,,,,,,,,,
Co-farmer,53,50,59,49,48,56,40,39,46,41,38,52
Own produce,14,13,18,19,18,25,12,11,15,14,12,21
DA/BPI,12,14,9,11,11,6,16,16,16,10,11,7
Seed grower,10,12,6,10,11,5,14,16,7,13,16,2
Trader/input dealer,7,7,7,6,6,4,12,12,12,15,15,12
LGU,0,0,0,1,1,1,2,2,2,4,4,3
Cooperative,2,2,0,3,3,1,2,2,0,1,1,0
PhilRice,1,1,1,1,1,0,2,1,2,2,2,1
PO/NGO,0,0,0,0,0,0,0,1,0,0,0,0
Others*,1,1,1,1,0,1,1,1,2,1,1,1
Ilocos Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Seed source,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 56),(n = 41),(n = 15),(n = 30),(n = 28),(n = 2),(n = 60),(n = 57),(n = 3),(n = 33),(n = 33),(n = 0)
,(percent of farmers),,,,,,,,,,,
Co-farmer,41,54,7,43,46,0,37,37,33,15,15,0
DA/BPI,41,37,53,27,25,50,42,42,33,0,0,0
LGU,0,0,0,0,0,0,0,0,0,70,70,0
Own produce,14,5,40,17,14,50,3,4,0,9,9,0
Seed grower,2,2,0,13,14,0,8,9,0,0,0,0
Trader/input dealer,0,0,0,0,0,0,12,11,33,3,3,0
Others*,2,2,0,0,0,0,0,0,0,3,3,0
Pangasinan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Seed source,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 145),(n = 96),(n = 49),(n = 72),(n = 72),(n = 0),(n = 150),(n = 120),(n = 30),(n = 89),(n = 87),(n = 2)
,(percent of farmers),,,,,,,,,,,
Co-farmer,43,49,33,50,50,0,29,31,23,30,31,0
DA/BPI,17,18,16,14,14,0,36,38,27,28,29,0
Own produce,17,17,18,22,22,0,11,7,27,9,9,0
Trader/input dealer,12,4,27,1,1,0,17,18,13,20,20,50
Seed grower,8,10,2,13,13,0,9,8,10,9,8,50
Others*,3,2,4,0,0,0,3,3,0,7,7,0
Cagayan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Seed source,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 114),(n = 87),(n = 27),(n = 109),(n = 77),(n = 32),(n = 112),(n = 88),(n = 24),(n = 112),(n = 88),(n = 24)
,(percent of farmers),,,,,,,,,,,
Trader/input dealer,30,32,22,32,39,16,63,64,63,74,70,88
