Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Seed classification,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,"(n = 1,993)",,"(n = 1,383)",,(n = 604),,"(n = 1,456)",,"(n = 1,181)",,(n = 275),,"(n = 2,399)",,"(n = 1,847)",,(n = 552),,"(n = 2,051)",,"(n = 1,640)",,(n = 411),,"(n = 2,877)",,"(n = 2,032)",,(n = 845),,"(n = 2,634)",,"(n = 2,089)",,(n = 545),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
,Seeds (kg/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hybrid,37.62,32.45,37.54,30.15,37.99,41.71,29.08,19.28,29.51,19.94,23.62,4.85,17.13,7.25,17.69,7.42,13.05,4.1,23.08,14.36,23.35,14.55,16.1,4.59,27.84,36.77,26.35,28.46,33.41,58.16,24.47,22.55,24.37,19.22,25.17,39.12
Registered,84.92,44.14,79.48,39.56,109.4,57.51,61.23,28.86,62.38,29.76,48,11.31,73.91,36.28,74.75,36.18,64.24,39.53,77.59,34.43,80.16,34.54,48.69,15.91,85.23,48.41,80.5,50.06,102.06,39.99,78.43,53.74,77.94,47.14,80,73.22
Certified,86.24,41.94,83.74,38.93,93.73,49.54,81.23,37.08,81.78,35.6,77.41,46.46,88.62,42.8,87.56,42.71,93.28,43.01,84.09,42.27,85.78,42.56,71.82,38.07,94.1,48.93,93.83,47.59,94.92,52.88,93.04,50.53,93.79,49.41,88.88,56.3
Good seeds,106.99,49.8,107.37,50.77,105.67,47.77,108.13,47.58,109.35,47.22,103.79,49.17,110.54,52.78,113.79,55.35,102.05,44.57,110.14,54.21,117.08,54.72,90.87,48.11,109.27,57.57,117.11,56.89,94.82,57.48,123.95,119.41,138.21,131.98,78.97,44.98
Farmer's seed,110.51,52.02,114.4,50.29,103.43,54.59,107.46,50.31,112.09,49.55,91.11,49.7,110.67,51.26,112.57,51.56,105.77,50.26,103.04,49.02,104.99,49.52,97.9,47.4,118.22,73.06,115.99,70.29,121.95,77.42,113.41,69.93,114.17,68.33,111.81,73.31
Quality,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95.14,51.73,85.35,44.31,116.47,60.59,97.08,54.21,94.95,54.77,116.67,49.55
