Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Items,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,998)","(n = 1,390)",(n = 608),"(n = 1,992)","(n = 1,686)",(n = 306),"(n = 2,489)","(n = 1,897)",(n = 592),"(n = 2,481)","(n = 1,813)",(n = 668),"(n = 3,063)","(n = 2,076)",(n = 987),"(n = 2,983)","(n = 2,260)",(n = 723)
Annual per capita poverty threshold (₱)*,13357,,,13357,,,18935,,,18935,,,21753,,,21753,,
,(Percent of farm households),,,,,,,,,,,,,,,,,
Above threshold,80,91,68,57,59,42,61,65,60,70,76,55,88,91,81,91,94,83
Below threshold,20,9,32,43,41,58,39,35,40,30,24,45,12,9,19,9,6,17
Ilocos Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Items,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 57),(n = 42),(n = 15),(n = 56),(n = 54),(n = 2),(n = 60),(n = 57),(n = 3),(n = 60),(n = 40),(n = 20),(n = 60),(n = 48),(n = 12),(n = 60),(n = 56),(n = 4)
Annual per capita provincial poverty threshold (₱)*,14512,,,14512,,,18953,,,18953,,,20615,,,20615,,
,(Percent of farm households),,,,,,,,,,,,,,,,,
Above threshold,91,88,100,57,57,50,63,47,100,52,45,65,53,56,42,75,79,25
Below threshold,9,12,0,43,43,50,37,53,0,48,55,35,47,44,58,25,21,75
Pangasinan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Items,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 147),(n = 96),(n = 51),(n = 147),(n = 147),(n = 0),(n = 151),(n = 121),(n = 30),(n = 149),(n = 97),(n = 52),(n = 151),(n = 104),(n = 47),(n = 150),(n = 136),(n = 14)
Annual per capita provincial poverty threshold (₱)*,13860,,,13860,,,17949,,,17949,,,20444,,,20444,,
,(Percent of farm households),,,,,,,,,,,,,,,,,
Above threshold,84,85,92,50,50,0,60,64,47,54,63,38,93,96,85,97,98,93
Below threshold,16,15,8,50,50,0,40,36,53,46,37,62,7,4,15,3,2,7
