Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
ITEM,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,998)","(n = 1,390)",(n = 608),"(n = 1,992)","(n = 1,686)",(n = 306),"(n = 2,489)","(n = 1,897)",(n = 592),"(n = 2,481)","(n = 1,813)",(n = 668),"(n = 3,063)","(n = 2,076)",(n = 987),"(n = 2,983)","(n = 2,260)",(n = 723)
Monthly per capita income (₱),3557,4714,2708,2025,2142,1378,3266,3292,3977,4344,4869,2922,11196,12211,9060,13539,15311,8001
Distribution of income by source (percent),,,,,,,,,,,,,,,,,,
     Rice Farming - On Farm,50,53,40,48,49,44,61,64,53,58,62,40,49,53,37,52,54,37
     Rice Farming - Off Farm,2,3,2,3,3,3,2,2,2,2,3,2,2,2,2,2,2,3
     Other Farming/Fishing - On Farm,8,7,13,11,11,14,6,6,8,11,10,19,7,6,10,6,5,11
     Other Farming/Fishing - Off Farm,2,1,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1
     Non Farming,37,36,42,36,36,36,30,28,37,27,25,37,41,38,49,39,38,49
Ilocos Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
ITEM,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 57),(n = 42),(n = 15),(n = 56),(n = 54),(n = 2),(n = 60),(n = 57),(n = 3),(n = 60),(n = 40),(n = 20),(n = 60),(n = 48),(n = 12),(n = 60),(n = 56),(n = 4)
