Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
Items,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,999)","(n = 1,390)",(n = 609),"(n = 1,992)","(n = 1,686)",(n = 306),"(n = 2,500)","(n = 1,905)",(n = 595),"(n = 2,500)","(n = 1,819)",(n = 681),"(n = 3,164)","(n = 2,151)","(n = 1,013)","(n = 3,104)","(n = 2,343)",(n = 761)
Age,,,,,,,,,,,,,,,,,,
    mean,53,53,53,53,53,52,54,54,54,54,54,55,55,55,55,56,56,56
    standard deviation,13,13,12,13,13,13,13,12,13,13,13,12,12,12,12,12,12,13
    range,19 - 93,19 - 93,21 - 85,19 - 91,19 - 91,25 - 85,20 - 94,21 - 94,20 - 89,21 - 93,23 - 92,21 - 93,22 - 96,23 - 96,22 - 86,22 - 97,23 - 97,22 - 92
Gender (percent of farmers),,,,,,,,,,,,,,,,,,
     Male,89,89,91,89,89,91,89,89,90,89,88,90,83,83,82,82,83,80
     Female,11,11,9,11,11,9,11,11,10,11,12,10,17,17,18,18,17,20
Civil status (percent of farmers),,,,,,,,,,,,,,,,,,
     Single,3,3,3,4,4,1,4,4,3,4,4,3,4,4,4,4,4,4
     Married,87,86,89,87,86,92,87,86,89,87,86,89,85,85,86,85,85,87
     Widow/widower,9,10,7,9,9,7,9,9,8,9,9,7,10,10,9,10,10,9
     Separated,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
Years of schooling,,,,,,,,,,,,,,,,,,
    mean,7,8,7,7,8,7,8,8,7,8,8,7,8,9,8,8,9,8
    standard deviation,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
    range,0 - 20,0 - 20,0 - 18,0 - 20,0 - 20,0 - 15,0 - 16,0 - 16,0 - 15,0 - 16,0 - 16,0 - 15,0 - 17,0 - 17,0 - 15,0 - 17,0 - 17,0 - 15
Years of farming experience,,,,,,,,,,,,,,,,,,
    mean,25,25,25,25,25,25,28,28,27,28,28,29,31,31,32,32,32,31
    standard deviation,14,14,13,14,14,13,14,14,14,14,14,14,14,14,15,14,14,15
    range,0 - 72,0 - 72,1 - 61,0 - 72,0 - 72,0 - 61,0 - 76,0 - 76,1 - 67,1 - 75,1 - 72,1 - 75,1 - 80,2 - 80,1 - 70,1 - 80,1 - 75,1 - 80
Household size (number of members),,,,,,,,,,,,,,,,,,
    mean,6,5,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4
    standard deviation,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
    range,1 - 22,1 - 22,1 - 14,1 - 22,1 - 22,1 - 15,1 - 16,1 - 16,1 - 13,1 - 21,1 - 17,1 - 21,1 - 32,1 - 32,1 - 17,1 - 15,1 - 15,1 - 15
     Male household member [mean],3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
     Female household member [mean],3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
Major source of income (percent of farmers),,,,,,,,,,,,,,,,,,
    Rice Farming,74,78,67,75,76,68,89,90,85,88,89,83,84,4,2,85,4,2
