Philippines,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,"(n = 1,997)",,"(n = 1,459)",,"(n = 2,399)",,"(n = 2,051)",,"(n = 2,879)",,"(n = 2,634)",
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,3647,1473,3953,1649,3673,1545,4129,1667,3500,2090,3661,2654
Irrigated ecosystem,3967,1393,4267,1553,3884,1499,4453,1593,3977,1892,4461,2085
Non-irrigated ecosystem,2904,1379,2597,1333,2967,1486,2835,1286,3159,1947,3029,3209
Ilocos Norte,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 57),,(n = 30),,(n = 60),,(n = 33),,(n = 60),,(n = 37),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,4267,982,4691,1666,4738,1675,5630,1413,4389,1985,3044,3190
Irrigated ecosystem,4529,848,4806,1659,4758,1715,5630,1413,4269,1676,4936,2660
Non-irrigated ecosystem,3535,985,3080,792,4373,403,,,4868,2971,,
Pangasinan,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 147),,(n = 73),,(n = 149),,(n = 89),,(n = 151),,(n = 113),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,3878,1218,4258,1128,3659,1309,3981,1235,3906,1483,3327,2457
Irrigated ecosystem,4115,1074,4258,1128,3888,1246,3965,1238,4279,1372,4446,1751
Non-irrigated ecosystem,3431,1352,,,2707,1137,4677,1193,3081,1396,,
Apayao,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 60),,(n = 60),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,,,,,,,,,5125,2169,5546,2299
Irrigated ecosystem,,,,,,,,,5344,2167,5597,2343
Non-irrigated ecosystem,,,,,,,,,4334,2067,4839,1627
Kalinga,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 60),,(n = 58),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,,,,,,,,,2352,1387,4646,2084
Irrigated ecosystem,,,,,,,,,2613,1399,5003,1863
Non-irrigated ecosystem,,,,,,,,,1410,856,3105,1741
Cagayan,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 114),,(n = 109),,(n = 112),,(n = 112),,(n = 112),,(n = 115),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,3906,1348,4345,1741,3759,1207,4514,1403,2876,1739,4625,1651
Irrigated ecosystem,4153,1353,4888,1624,3796,1208,4706,1429,3239,1760,4770,1603
Non-irrigated ecosystem,3111,988,3039,1262,3620,1218,3810,1056,2268,1204,3970,1445
Isabela,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 89),,(n = 89),,(n = 114),,(n = 115),,(n = 112),,(n = 116),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,3491,1695,4502,1447,3362,1849,4827,1583,4493,2036,5134,1737
Irrigated ecosystem,3699,1701,4962,980,3833,1736,5335,1349,4958,1790,5390,1578
Non-irrigated ecosystem,2466,1270,2040,981,1598,1008,2997,841,3062,1547,2917,1490
Nueva Vizcaya,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 60),,(n = 57),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,,,,,,,,,4084,1476,4541,2072
Irrigated ecosystem,,,,,,,,,4180,1322,4881,1786
Non-irrigated ecosystem,,,,,,,,,3738,1963,2009,189
Aurora,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 57),,(n = 50),,(n = 59),,(n = 55),,(n = 60),,(n = 59),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,3363,608,3624,658,3167,1065,3440,904,4235,1551,5028,1715
Irrigated ecosystem,3395,588,3655,625,3171,1086,3427,905,4251,1581,5114,1596
Non-irrigated ecosystem,2500,707,2080,,3113,842,3797,1127,3942,906,,
Bulacan,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 77),,(n = 29),,(n = 79),,(n = 37),,(n = 81),,(n = 48),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,4058,1375,4641,1035,3808,1359,4935,1547,3707,1878,2720,2645
Irrigated ecosystem,4238,1294,4641,1035,4034,1646,4935,1547,4054,1625,4851,1671
Non-irrigated ecosystem,3806,1387,,,3598,1002,,,3795,1764,2888,767
Nueva Ecija,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 110),,(n = 77),,(n = 148),,(n = 123),,(n = 150),,(n = 129),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,4059,1553,6015,1834,3394,1499,6287,1887,4183,1664,5394,3059
Irrigated ecosystem,4014,1566,6038,1834,3402,1506,6287,1887,4432,1591,6314,2261
Non-irrigated ecosystem,4247,1451,4240,,3232,1439,,,3512,1592,,
Pampanga,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 56),,(n = 41),,(n = 49),,(n = 50),,(n = 57),,(n = 56),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,3854,1424,4138,2099,3236,1309,4732,1437,3701,1688,4633,2059
Irrigated ecosystem,3836,1330,4138,2099,3236,1309,4732,1437,3948,1436,4964,1696
Non-irrigated ecosystem,3974,2103,,,,,,,3699,1748,,
Tarlac,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 76),,(n = 37),,(n = 86),,(n = 45),,(n = 86),,(n = 52),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,4090,1161,4383,1173,4120,1355,4943,1208,4238,1515,2898,2682
Irrigated ecosystem,4348,1061,4383,1173,4089,1282,4943,1208,4293,1394,4872,1633
Non-irrigated ecosystem,3317,1127,,,4386,1950,,,4140,1728,2833,519
Laguna,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 56),,(n = 45),,(n = 59),,(n = 57),,(n = 51),,(n = 57),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,2677,1094,3868,1343,3707,1418,4145,1423,2899,2863,4780,2737
Irrigated ecosystem,2579,1181,3889,1482,3707,1418,4169,1424,3179,1635,5049,2606
Non-irrigated ecosystem,2883,876,3782,552,,,2800,,4658,6181,4961,2534
Quezon,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 52),,(n = 47),,(n = 60),,(n = 59),,(n = 52),,(n = 58),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,2922,1386,3302,1666,3504,1011,3173,1207,2738,1900,3587,2057
Irrigated ecosystem,3358,1274,3684,1640,3728,1145,3258,1444,3159,1613,3911,1921
Non-irrigated ecosystem,1613,744,2786,1598,3211,725,3091,940,3159,1913,3151,2154
Occidental Mindoro,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 51),,(n = 25),,(n = 60),,(n = 33),,(n = 59),,(n = 47),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,4086,893,4347,769,4507,1116,5013,1178,4102,2175,3899,2473
Irrigated ecosystem,3968,892,4347,769,4476,1240,5013,1178,4060,1553,5081,1532
Non-irrigated ecosystem,4208,896,,,4583,744,,,4374,2927,3457,412
Oriental Mindoro,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 85),,(n = 75),,(n = 82),,(n = 86),,(n = 82),,(n = 83),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,3903,1223,4093,1072,3802,1122,3843,1234,4166,2241,3902,2118
Irrigated ecosystem,4049,1285,4168,1039,3822,1152,3947,1180,4494,2115,4167,2068
Non-irrigated ecosystem,3360,761,2761,804,3635,884,3389,1397,3645,1865,2851,1605
Palawan,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 58),,(n = 48),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,,,,,,,,,3282,1542,2450,1671
Irrigated ecosystem,,,,,,,,,3403,1501,3257,1197
Non-irrigated ecosystem,,,,,,,,,3384,1383,2636,1331
Albay,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 48),,(n = 48),,(n = 60),,(n = 60),,(n = 60),,(n = 56),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,2663,1268,3171,1565,3214,1254,3964,1612,3878,1757,4043,2032
Irrigated ecosystem,3204,1094,3990,1152,3584,1069,4292,1465,4034,1715,4442,1747
Non-irrigated ecosystem,1762,1013,1920,1265,1562,353,1831,507,3184,1858,3209,1876
Camarines Sur,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 90),,(n = 76),,(n = 106),,(n = 114),,(n = 112),,(n = 112),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,2939,1177,3265,1170,3093,1211,3057,1400,3214,1451,3532,2020
Irrigated ecosystem,3207,1100,3344,1179,3308,1298,3646,1216,3565,1283,3871,2026
Non-irrigated ecosystem,1957,955,2481,755,2462,561,1924,973,2903,1351,3127,1612
Antique,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 60),,(n = 42),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,,,,,,,,,3333,1639,2145,1812
Irrigated ecosystem,,,,,,,,,3251,1616,3215,1231
Non-irrigated ecosystem,,,,,,,,,3410,1683,2765,1581
Capiz,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 59),,(n = 57),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,,,,,,,,,3217,1725,3336,1690
Irrigated ecosystem,,,,,,,,,3337,1828,3608,1456
Non-irrigated ecosystem,,,,,,,,,3200,1546,3284,1757
Iloilo,Jul-Dec 2006 harvest,,Jan-Jun 2007 harvest,,Jul-Dec 2011 harvest,,Jan-Jun 2012 harvest,,Jul-Dec 2016 harvest,,Jan-Jun 2017 harvest,
,(n = 88),,(n = 38),,(n = 116),,(n = 58),,(n = 116),,(n = 68),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
All ecosystems,2980,1218,2024,1481,3177,1422,2808,1079,3201,1662,1500,1495
Irrigated ecosystem,3297,1076,2153,1759,3392,1555,3026,1233,3525,1733,2555,1135
