Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Seed Classification,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,"(n = 1,997)",,"(n = 1,386)",,(n = 605),,"(n = 1,459)",,"(n = 1,184)",,(n = 275),,"(n = 2,399)",,"(n = 1,847)",,(n = 552),,"(n = 2,051)",,"(n = 1,640)",,(n = 411),,"(n = 2,879)",,"(n = 2,034)",,(n = 845),,"(n = 2,634)",,"(n = 2,089)",,(n = 545),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Hybrid,4706,1676,4331,1711,3513,1204,5733,2107,4635,1736,3337,1218,4718,1950,4354,1623,3751,1636,5829,1920,4244,1760,2967,1475,3659,1841,3905,1825,3128,1889,3670,1696,3974,1729,2284,1174
Registered,4207,1527,4264,1721,3394,999,4754,1583,4202,1339,3644,1245,4441,1843,4495,1515,4566,2112,4548,1640,4082,1456,3655,640,4079,2494,4959,2143,3409,2208,4150,2144,4714,1990,2197,1388
Certified,4010,1388,3980,1437,3195,1325,4562,1386,4096,1390,3325,1309,3858,1497,3894,1491,3184,1277,4532,1491,4021,1479,3018,1481,3872,1914,4418,2005,3252,2028,4294,2051,4393,1987,2798,1647
Good seeds,3601,1428,3847,1344,2713,1223,3950,1686,3889,1476,2840,1303,3689,1524,3789,1465,2792,1277,3841,1527,3771,1418,2608,1340,3679,1756,4240,1765,2818,1242,4046,1825,3802,1634,3600,1445
Farmer's seed,3376,1414,3582,1372,2625,1281,3512,1448,3624,1344,2536,1187,3318,1422,3595,1425,2448,1264,3621,1545,3656,1407,2376,1186,3635,1816,3971,1711,3331,1535,4066,1971,4161,1776,2940,2187
Ilocos Norte,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Seed Classification,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 57),,(n = 42),,(n = 15),,(n = 30),,(n = 28),,(n = 2),,(n = 60),,(n = 57),,(n = 3),,(n = 33),,(n = 33),,(n = 0),,(n = 60),,(n = 48),,(n = 12),,(n = 37),,(n = 37),,(n = 0),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Hybrid,4660,1153,4276,1838,3167,703,5394,1244,5105,991,0,0,5199,2521,4219,1670,4389,550,6559,1451,4470,1536,0,0,4531,2109,4173,2422,2789,1681,5791,3004,5202,2711,0,0
Registered,2875,0,0,0,2875,0,0,0,0,0,0,0,6667,0,4549,1690,0,0,0,0,0,0,0,0,4479,30,5750,1768,6816,3335,6423,2629,5428,2267,0,0
Certified,4485,778,4363,1355,3663,1098,5200,1466,4126,1446,4046,636,4577,1021,3780,1220,4142,1113,5593,894,4272,1661,0,0,4408,2027,3301,2537,3264,3698,3810,2085,4165,2211,0,0
Good seeds,4038,992,3932,1162,3394,1510,4426,2180,4091,1870,2544,1493,4610,255,4472,1810,3263,586,0,0,0,0,0,0,0,0,0,0,0,0,4500,0,4070,608,0,0
Farmer's seed,4120,868,3862,1268,3169,744,3816,878,3865,953,0,0,4245,1136,3978,1289,0,0,3867,323,3742,1404,0,0,4440,0,5180,1047,0,0,0,0,0,0,0,0
Pangasinan,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Seed Classification,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 147),,(n = 96),,(n = 51),,(n = 73),,(n = 73),,(n = 0),,(n = 149),,(n = 120),,(n = 29),,(n = 89),,(n = 87),,(n = 2),,(n = 151),,(n = 104),,(n = 47),,(n = 113),,(n = 113),,(n = 0),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Hybrid,5010,1906,3308,1453,3470,1363,1050,0,3955,2115,0,0,3039,1928,3407,1167,2643,1558,3560,1640,3789,1591,0,0,3907,2012,4178,1806,3230,3154,4818,2178,4818,2178,0,0
